filename,width,height,class,xmin,ymin,xmax,ymax
IMG-20230711-fg-mhgdWA0100_jpg.rf.f4a09cecf4bfa7f1854fb7c56a8ef04e.jpg,640,640,plant,86,176,160,275
IMG-20230711-fg-mhgdWA0100_jpg.rf.f4a09cecf4bfa7f1854fb7c56a8ef04e.jpg,640,640,plant,259,19,605,433
IMG-20230711-fg-mhgdWA0100_jpg.rf.f4a09cecf4bfa7f1854fb7c56a8ef04e.jpg,640,640,plant,59,135,530,640
IMG-20230711-fg-mhgdWA0100_jpg.rf.f4a09cecf4bfa7f1854fb7c56a8ef04e.jpg,640,640,plant,84,174,160,276
IMG-20230711-fg-mhgdWA0100_jpg.rf.f4a09cecf4bfa7f1854fb7c56a8ef04e.jpg,640,640,plant,49,18,633,639
IMG-20230711-WA0122_jpg.rf.f5081df9ae37aca6248d730dbfbfd48c.jpg,640,640,plant,244,420,303,551
IMG-20230711-WA0122_jpg.rf.f5081df9ae37aca6248d730dbfbfd48c.jpg,640,640,plant,188,162,344,467
20210907_153931_x264_mp4-595_jpg.rf.f68f778cd567712f79a303c239549110.jpg,640,640,weed,162,114,497,328
20210907_153931_x264_mp4-927_jpg.rf.f4b948bd7f890d5355009f542faa4e78.jpg,640,640,weed,7,0,603,338
IMG-2023dgrxdgfbccnhtfgyA0187_jpg.rf.f4714eee2ae2b8f434714a1aa3fcb3c9.jpg,640,640,plant,104,110,592,520
IMG-20230dfgfhghj711-WA0055-Copy_jpg.rf.f4d5264cd737ce28aaee47d7a18f5517.jpg,640,640,weed,76,60,531,580
IMG-20230dfgfhghj711-WA0055-Copy_jpg.rf.f4d5264cd737ce28aaee47d7a18f5517.jpg,640,640,plant,76,59,531,581
IMG-2023zcA0143_jpg.rf.f53f7b69a6ea167669b96265b1665493.jpg,640,640,plant,44,71,601,569
IMG-20230711-WA0068-Copy_jpg.rf.f512afc5258d08bf7283ac2d513d078e.jpg,640,640,plant,234,606,261,640
IMG-20230711-WA0068-Copy_jpg.rf.f512afc5258d08bf7283ac2d513d078e.jpg,640,640,plant,214,550,233,609
IMG-20230711-WA0068-Copy_jpg.rf.f512afc5258d08bf7283ac2d513d078e.jpg,640,640,plant,241,152,269,216
IMG-20230711-WA0068-Copy_jpg.rf.f512afc5258d08bf7283ac2d513d078e.jpg,640,640,plant,245,51,272,107
IMG-20230711-WA0068-Copy_jpg.rf.f512afc5258d08bf7283ac2d513d078e.jpg,640,640,plant,266,522,300,618
IMG-20230711-WA0068-Copy_jpg.rf.f512afc5258d08bf7283ac2d513d078e.jpg,640,640,plant,285,118,469,587
20210907_153931_x264_mp4-915_jpg.rf.f5b22c740757f82d0d637c7b8b103569.jpg,640,640,weed,31,188,68,249
20210907_153931_x264_mp4-915_jpg.rf.f5b22c740757f82d0d637c7b8b103569.jpg,640,640,weed,14,349,71,381
20210907_153931_x264_mp4-915_jpg.rf.f5b22c740757f82d0d637c7b8b103569.jpg,640,640,weed,178,431,231,461
20210907_153931_x264_mp4-915_jpg.rf.f5b22c740757f82d0d637c7b8b103569.jpg,640,640,weed,17,394,91,495
20210907_153931_x264_mp4-915_jpg.rf.f5b22c740757f82d0d637c7b8b103569.jpg,640,640,weed,512,368,640,551
20210907_153931_x264_mp4-915_jpg.rf.f5b22c740757f82d0d637c7b8b103569.jpg,640,640,weed,145,226,308,543
IMG-20230711-WAwqerwtyrutiy0039_jpg.rf.f6abda13756799fcc4a2a081bc65d060.jpg,640,640,weed,147,183,383,553
IMG-20230711-WA0253_jpg.rf.f5e3f4ce0bab0ccb077f7b3b67d50cd2.jpg,640,640,plant,170,179,305,515
IMG-20230711-WA0154_jpg.rf.f6f6dd49d507075bc604259a71a47019.jpg,640,640,plant,190,166,303,436
20210907_153931_x264_mp4-671_jpg.rf.f7488f12c0109cc685e0c8565de47282.jpg,640,640,weed,503,583,547,640
20210907_153931_x264_mp4-671_jpg.rf.f7488f12c0109cc685e0c8565de47282.jpg,640,640,weed,503,0,576,71
20210907_153931_x264_mp4-671_jpg.rf.f7488f12c0109cc685e0c8565de47282.jpg,640,640,weed,362,346,445,434
IMG-20230711-WA0073-Copy_jpg.rf.f5fe9a48cad7a56b6287d7972de265ec.jpg,640,640,plant,177,166,595,601
IMG-20230711-WA0053-Copy_jpg.rf.f702a86ccc2082559d9f970eb77154da.jpg,640,640,plant,110,233,487,364
IMG-2023071dszcdzcdzvcxv_jpg.rf.f5b84473cb7e61c561cfa5ec5845a9d2.jpg,640,640,weed,191,212,434,390
IMG-20230asdsdfgdxgbh1-WA0107_jpg.rf.f6296daddc73953499eb6e8016794cd1.jpg,640,640,plant,431,105,549,176
IMG-20230asdsdfgdxgbh1-WA0107_jpg.rf.f6296daddc73953499eb6e8016794cd1.jpg,640,640,plant,26,30,636,594
uhbIMG-20230711-WA0007-Copy_jpg.rf.f470376e14d4121a9e2153448809fcc9.jpg,640,640,plant,0,9,625,521
IMG-20230xcdcdxscdcss1_jpg.rf.f715859573d122df56eb77ccb809fa15.jpg,640,640,plant,235,236,424,404
20210907_153931_x264_mp4-1444_jpg.rf.f5be2a5b9e2ed83e6f03e8769478faa2.jpg,640,640,weed,0,220,154,359
20210907_153931_x264_mp4-1444_jpg.rf.f5be2a5b9e2ed83e6f03e8769478faa2.jpg,640,640,weed,178,225,640,455
IMG-20230711-WA0042-Copy_jpg.rf.f5082014ecd42176235f581e16755812.jpg,640,640,plant,122,115,328,539
IMG-20sdfgdhj246-1-_jpg.rf.f498a4028222ea6c4800dad1c03f3099.jpg,640,640,plant,130,195,540,504
